id,station,active
AMB.01,PITSTOP AMBON SIS,1
BDG.02,VP OB 1 SIS,1
BDG.03,VP OB 1 SIS,1
BDG.04,VP OB 1 SIS,1
BGK.01,VP SABANG TIMUR SIS,1
BGK.02,VP SABANG TIMUR SIS,1
BGR.01,ITABAL9,1
BJB.02,VP OB 1 SIS,1
BJB.03,CSA BONTANG SIS,1
BJM.01,PITSTOP AMBON SIS,1
BJM.02,CSA BONTANG SIS,1
BJM.03,CSA BONTANG SIS,1
BKL.01,ITABAL8,1
BKL.02,,1
BKL.03,,1
BNE.02,ITABAL8,1
BNE.03,ITABAL8,1
BNE.04,ITABAL8,1
BNY.01,CSA BONTANG SIS,1
BNY.02,CSA BONTANG SIS,1
BTG.03,CSA BONTANG SIS,1
BTG.04,CSA BONTANG SIS,1
FLR.02,,1
JKT.01,ITABAL9,1
JKT.02,ITABAL9,1
JKT.03,ITABAL9,1
JKT.04,ITABAL9,1
JKT.05,ITABAL9,1
JKT.06,ITABAL9,1
JKT.07,ITABAL9,1
JKT.08,ITABAL9,1
JMB.01,ITABAL8,1
JMB.03,ITABAL8,1
JMB.04,ITABAL9,1
KRC.02,VP SABANG TIMUR SIS,1
KRC.03,ITABAL8,1
KRC.04,VP SABANG TIMUR SIS,1
KRC.05,VP SABANG TIMUR SIS,1
KRC.06,VP SABANG TIMUR SIS,1
KRC.07,VP SABANG TIMUR SIS,1
KRC.08,VP SABANG TIMUR SIS,1
LHT.01,ITABAL8,1
LPG.01,ITABAL8,1
LPG.02,ITABAL8,1
LPG.03,ITABAL8,1
LPG.06,ITABAL8,1
LPG.07,ITABAL8,1
MDN.01,ITABAL8,1
MDN.02,ITABAL8,1
MDN.03,ITABAL8,1
MDN.04,ITABAL8,1
MIA.01,ITABAL9,1
MIA.02,ITABAL9,1
MIA.03,ITABAL9,1
MIA.04,PITSTOP AMBON SIS,1
MIA.05,ITABAL9,1
MIA.06,ITABAL9,1
MKS.01,CSA BONTANG SIS,1
MKS.02,PITSTOP AMBON SIS,1
MKS.03,ROM 13,1
MKS.04,ROM 13,1
MND.02,CSA BONTANG SIS,1
MRK.01,VP SABANG TIMUR SIS,1
MRK.02,,1
MTM.01,PITSTOP AMBON SIS,1
MTP.01,PITSTOP AMBON SIS,1
MTR.01,VP SABANG TIMUR SIS,1
NIS.01,ITABAL8,1
NIS.02,ITABAL8,1
NIS.03,ITABAL8,1
PDG.01,ITABAL9,1
PLB.01,ITABAL8,1
PLB.02,ITABAL8,1
PLB.03,ITABAL8,1
PLB.04,ITABAL8,1
PLU.03,,1
PLU.04,,1
RIU.02,VP SABANG TIMUR SIS,1
RIU.04,VP SABANG TIMUR SIS,1
RIU.05,VP SABANG TIMUR SIS,1
SBG.02,VP SABANG TIMUR SIS,1
SBG.03,VP SABANG TIMUR SIS,1
SBG.04,VP SABANG TIMUR SIS,1
SBG.05,VP SABANG TIMUR SIS,1
SBG.06,,1
SBG.07,VP SABANG TIMUR SIS,1
SBG.08,VP SABANG TIMUR SIS,1
SBG.10,VP SABANG TIMUR SIS,1
SBG.11,VP SABANG TIMUR SIS,1
SGT.02,CSA BONTANG SIS,1
SMB.02,CSA BONTANG SIS,1
SMB.03,,1
SMR.02,VP OB 1 SIS,1
SNT.01,PITSTOP AMBON SIS,1
TJG.01,CSA BONTANG SIS,1
TJG.02,CSA BONTANG SIS,1
